Date,AGG,EEM,EFA,GLD,SPY,TLT,VNQ
2016-12-14,81.41004943847656,28.312440872192383,43.362403869628906,108.83000183105469,193.3794708251953,88.69879913330078,55.46603775024414
2016-12-15,81.31137084960938,28.360633850097656,43.26557540893555,107.33999633789062,194.1756591796875,89.14682006835938,55.14093017578125
2016-12-16,81.36450958251953,28.23212242126465,43.29536819458008,108.05000305175781,193.79588317871094,88.9417953491211,55.967254638671875
2016-12-19,81.57695770263672,28.039356231689453,43.228328704833984,108.58999633789062,194.2178955078125,89.89845275878906,56.57007598876953
2016-12-20,81.5010986328125,28.135738372802734,43.377296447753906,107.79000091552734,194.96707153320312,89.45049285888672,56.698753356933594
2016-12-21,81.67562103271484,28.01875877380371,43.389339447021484,107.8499984741211,194.424560546875,89.8453140258789,55.838565826416016
2016-12-22,81.67483520507812,27.685691833496094,43.291500091552734,107.58999633789062,194.0887451171875,89.6846694946289,55.74520492553711
2016-12-23,81.6976089477539,27.848159790039062,43.40438461303711,107.93000030517578,194.3729248046875,89.86740112304688,55.89042282104492
2016-12-27,81.6368179321289,27.97002410888672,43.35171127319336,108.55999755859375,194.85513305664062,89.57811737060547,56.00798416137695
2016-12-28,81.76612091064453,28.181232452392578,43.186161041259766,108.86000061035156,193.24476623535156,90.23279571533203,55.66912841796875
2016-12-29,82.01713562011719,28.644285202026367,43.291500091552734,110.29000091552734,193.2017059326172,90.5525131225586,56.36069869995117
2016-12-30,82.1844253540039,28.441192626953125,43.44200134277344,109.61000061035156,192.49551391601562,90.68953704833984,57.07297134399414
2017-01-03,82.26810455322266,28.78238868713379,43.712913513183594,110.47000122070312,193.9681396484375,91.07781219482422,57.25967788696289
2017-01-04,82.29088592529297,29.001731872558594,44.209556579589844,110.86000061035156,195.12210083007812,91.42799377441406,58.09646224975586
2017-01-05,82.63312530517578,29.318553924560547,44.585819244384766,112.58000183105469,194.96707153320312,92.85914611816406,58.283164978027344
2017-01-06,82.35933685302734,29.196697235107422,44.43532180786133,111.75,195.66464233398438,92.00654602050781,58.29008483886719
2017-01-09,82.49620819091797,29.172327041625977,44.36758804321289,112.66999816894531,195.018798828125,92.74498748779297,57.764503479003906
2017-01-10,82.47342681884766,29.342933654785156,44.3751106262207,113.1500015258789,195.018798828125,92.68403625488281,57.27350997924805
2017-01-11,82.57229614257812,29.69224739074707,44.60839080810547,113.5,195.56993103027344,92.99617767333984,56.920833587646484
2017-01-12,82.60272216796875,29.822229385375977,44.676116943359375,113.91000366210938,195.07904052734375,92.79061889648438,57.211273193359375
2017-01-13,82.45820617675781,29.79785919189453,44.841670989990234,114.20999908447266,195.52687072753906,92.34912109375,57.1282844543457
2017-01-17,82.73960876464844,29.781600952148438,44.676116943359375,115.8499984741211,194.83790588378906,93.3159408569336,57.570884704589844
2017-01-18,82.38212585449219,29.6191349029541,44.54819107055664,114.87000274658203,195.2685089111328,92.12071228027344,57.667701721191406
2017-01-19,82.16917419433594,29.529773712158203,44.43532180786133,114.7699966430664,194.5451202392578,91.48889923095703,57.07988739013672
2017-01-20,82.1996078491211,29.58664321899414,44.691162109375,115.05000305175781,195.25991821289062,91.30620574951172,57.49478530883789
2017-01-23,82.42780303955078,30.025325775146484,44.80404281616211,115.79000091552734,194.75181579589844,92.21967315673828,57.97888946533203
2017-01-24,82.2984848022461,30.212158203125,44.916908264160156,115.2699966430664,196.00051879882812,91.58785247802734,57.99271774291992
2017-01-25,82.0779037475586,30.54523468017578,45.38347244262695,114.31999969482422,197.6969757080078,90.43831634521484,57.612388610839844
2017-01-26,82.13119506835938,30.415260314941406,45.20286560058594,113.26000213623047,197.4902801513672,90.74281311035156,57.501731872558594
2017-01-27,82.1996078491211,30.439626693725586,45.12761306762695,113.48999786376953,197.1802978515625,91.07019805908203,56.941566467285156
2017-01-30,82.16158294677734,30.277162551879883,44.80404281616211,113.97000122070312,195.95741271972656,90.79615783691406,56.5543212890625
2017-01-31,82.35933685302734,30.334030151367188,44.87177276611328,115.55000305175781,195.9402313232422,91.42799377441406,56.96231460571289
2017-02-01,82.24352264404297,30.35027503967285,45.0523681640625,115.19999694824219,196.01771545410156,90.8626708984375,56.277679443359375
2017-02-02,82.28919982910156,30.480247497558594,45.074947357177734,115.83999633789062,196.14688110351562,90.82453155517578,56.94850540161133
2017-02-03,82.3121109008789,30.667091369628906,45.25554275512695,116.12999725341797,197.49893188476562,90.7863540649414,57.25967788696289
2017-02-06,82.54833984375,30.593984603881836,44.93197250366211,117.69999694824219,197.14578247070312,91.33563995361328,57.162879943847656
2017-02-07,82.63216400146484,30.439626693725586,44.886817932128906,117.45999908447266,197.1544189453125,92.00703430175781,56.96231460571289
2017-02-08,82.86840057373047,30.626480102539062,44.962059020996094,118.19000244140625,197.4127960205078,93.25819396972656,57.41183853149414
2017-02-09,82.67030334472656,30.764583587646484,45.15019226074219,117.29000091552734,198.58395385742188,92.18247985839844,57.55012893676758
2017-02-10,82.65503692626953,31.048913955688477,45.25554275512695,117.5999984741211,199.36764526367188,92.12906646728516,57.9581413269043
2017-02-13,82.53306579589844,31.146394729614258,45.43614196777344,116.80000305175781,200.45269775390625,91.83920288085938,57.97888946533203
2017-02-14,82.35018157958984,31.178890228271484,45.3684196472168,116.93000030517578,201.25360107421875,91.17548370361328,57.67462158203125
2017-02-15,82.22064971923828,31.430723190307617,45.54149627685547,117.44999694824219,202.30419921875,90.7558364868164,57.480987548828125
2017-02-16,82.39590454101562,31.317001342773438,45.646854400634766,118.08000183105469,202.13194274902344,91.25178527832031,57.819847106933594
2017-02-17,82.57881927490234,31.1870174407959,45.52644729614258,117.68000030517578,202.4505615234375,91.79339599609375,57.93046188354492
2017-02-21,82.5711898803711,31.528207778930664,45.67694854736328,117.75,203.65621948242188,91.63322448730469,58.67042541503906
2017-02-22,82.62452697753906,31.62570571899414,45.67694854736328,117.91000366210938,203.47537231445312,91.78582763671875,58.47678756713867
2017-02-23,82.76170349121094,31.633811950683594,45.77476119995117,118.94000244140625,203.6132049560547,92.06047058105469,58.781070709228516
2017-02-24,83.0665512084961,31.260129928588867,45.443668365478516,119.69999694824219,203.8715057373047,93.08269500732422,59.05768585205078
2017-02-27,82.91416931152344,31.162647247314453,45.4737663269043,119.12000274658203,204.19012451171875,92.53343963623047,59.368900299072266
2017-02-28,82.89125061035156,30.862071990966797,45.406044006347656,119.2300033569336,203.63894653320312,92.87677001953125,58.96088409423828
2017-03-01,82.50182342529297,31.341367721557617,45.880123138427734,119.05999755859375,206.4894561767578,91.32051086425781,58.781070709228516
2017-03-02,82.34912109375,30.78896141052246,45.57912063598633,117.58000183105469,205.18905639648438,90.99181365966797,58.46295928955078
2017-03-03,82.41019439697266,31.024539947509766,45.85002136230469,117.51000213623047,205.31826782226562,91.22872924804688,58.234745025634766
2017-03-06,82.37197875976562,31.040782928466797,45.70704650878906,116.72000122070312,204.70681762695312,90.79302978515625,57.97196960449219
2017-03-07,82.26509857177734,31.073287963867188,45.54901885986328,115.77999877929688,204.09542846679688,90.51789855957031,57.69534683227539
2017-03-08,82.06656646728516,30.780832290649414,45.38347244262695,115.05999755859375,203.71652221679688,90.02864837646484,56.63037109375
2017-03-09,81.8145980834961,30.537124633789062,45.55654525756836,114.47000122070312,203.97488403320312,89.3101577758789,55.7797737121582
2017-03-10,81.93675231933594,30.878320693969727,45.9403076171875,114.72000122070312,204.68960571289062,89.62356567382812,55.606895446777344
2017-03-13,81.79927825927734,31.308866500854492,46.181114196777344,114.73999786376953,204.79293823242188,89.0579605102539,55.74520492553711
2017-03-14,81.8298110961914,31.130151748657227,45.82744216918945,114.12000274658203,204.00926208496094,89.4859390258789,55.731380462646484
2017-03-15,82.30328369140625,31.942522048950195,46.48212814331055,116.25,205.77468872070312,90.57902526855469,56.85859298706055
2017-03-16,82.21163177490234,32.13749313354492,46.7078742980957,116.7300033569336,205.3699188232422,90.12039947509766,56.74793243408203
